dataset,task_id,method,snapshot_size,candidate_count,true_source,predicted_source,source_rank,hit_at_1,hit_at_5,mrr,error_hops
sashts,sashts_seed11_sourceS016-002_frac20,snapshot_weighted_degree,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac20,snapshot_closeness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac20,snapshot_betweenness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac20,snapshot_center,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac20,graphsage_lodo,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,random,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,snapshot_degree,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,snapshot_weighted_degree,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,snapshot_closeness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,snapshot_betweenness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,snapshot_center,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac30,graphsage_lodo,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac10,random,6,6,S021-002,S021-003,5,0,1,0.2,1
sashts,sashts_seed11_sourceS021-002_frac10,snapshot_degree,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac10,snapshot_weighted_degree,6,6,S021-002,S021-005,5,0,1,0.2,1
sashts,sashts_seed11_sourceS021-002_frac10,snapshot_closeness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac10,snapshot_betweenness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac10,snapshot_center,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac10,graphsage_lodo,6,6,S021-002,S021-005,6,0,0,0.16666666666666666,1
sashts,sashts_seed11_sourceS021-002_frac20,random,6,6,S021-002,S021-005,5,0,1,0.2,1
sashts,sashts_seed11_sourceS021-002_frac20,snapshot_degree,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac20,snapshot_weighted_degree,6,6,S021-002,S021-005,5,0,1,0.2,1
sashts,sashts_seed11_sourceS021-002_frac20,snapshot_closeness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac20,snapshot_betweenness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac20,snapshot_center,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac20,graphsage_lodo,6,6,S021-002,S021-005,6,0,0,0.16666666666666666,1
sashts,sashts_seed11_sourceS021-002_frac30,random,6,6,S021-002,S021-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceS021-002_frac30,snapshot_degree,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac30,snapshot_weighted_degree,6,6,S021-002,S021-005,5,0,1,0.2,1
sashts,sashts_seed11_sourceS021-002_frac30,snapshot_closeness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac30,snapshot_betweenness,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac30,snapshot_center,6,6,S021-002,S021-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS021-002_frac30,graphsage_lodo,6,6,S021-002,S021-005,6,0,0,0.16666666666666666,1
sashts,sashts_seed11_sourceS023-001_frac10,random,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac10,snapshot_degree,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac10,snapshot_weighted_degree,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac10,snapshot_closeness,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac10,snapshot_betweenness,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac10,snapshot_center,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac10,graphsage_lodo,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac20,random,3,3,S023-001,S023-002,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS023-001_frac20,snapshot_degree,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac20,snapshot_weighted_degree,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac20,snapshot_closeness,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac20,snapshot_betweenness,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac20,snapshot_center,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac20,graphsage_lodo,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac30,random,3,3,S023-001,S023-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac30,snapshot_degree,3,3,S023-001,S023-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS023-001_frac30,snapshot_weighted_degree,3,3,S023-001,S023-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS023-001_frac30,snapshot_closeness,3,3,S023-001,S023-001,1,1,1,1.0,0
