dataset,task_id,true_source,snapshot_size,target_fraction,simulation_steps,candidate_rows
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1482_frac30,1482,139,0.3,2,139
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1532_frac10,1532,116,0.1,2,116
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1532_frac20,1532,128,0.2,2,128
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1532_frac30,1532,157,0.3,2,157
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1787_frac10,1787,109,0.1,2,109
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1787_frac20,1787,94,0.2,2,94
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1787_frac30,1787,97,0.3,2,97
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1780_frac10,1780,156,0.1,2,156
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1780_frac20,1780,184,0.2,2,184
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1780_frac30,1780,173,0.3,2,173
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1528_frac10,1528,51,0.1,2,51
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1528_frac20,1528,130,0.2,2,130
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1528_frac30,1528,96,0.3,2,96
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1910_frac10,1910,31,0.1,2,31
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1910_frac20,1910,150,0.2,3,150
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1910_frac30,1910,170,0.3,3,170
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1843_frac10,1843,145,0.1,2,145
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1843_frac20,1843,136,0.2,2,136
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1843_frac30,1843,137,0.3,2,137
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1797_frac10,1797,58,0.1,2,58
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1797_frac20,1797,123,0.2,2,123
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1797_frac30,1797,75,0.3,2,75
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1493_frac10,1493,144,0.1,2,144
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1493_frac20,1493,93,0.2,2,93
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1493_frac30,1493,78,0.3,2,78
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1465_frac10,1465,100,0.1,2,100
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1465_frac20,1465,98,0.2,2,98
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1465_frac30,1465,116,0.3,2,116
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1746_frac10,1746,56,0.1,2,56
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1746_frac20,1746,62,0.2,2,62
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1746_frac30,1746,223,0.3,3,223
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1917_frac10,1917,54,0.1,2,54
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1917_frac20,1917,73,0.2,2,73
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1917_frac30,1917,218,0.3,3,218
sociopatterns_primary_school,sociopatterns_primary_school_seed42_source1665_frac10,1665,120,0.1,2,120
