model,model_family,feature_set,seed,fold,threshold,best_epoch,best_val_ap,patience,max_epochs,early_stopped,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,hidden_dim
graph_full,ablation,full,42,0,0.05,184,0.8146739627028097,50,800,True,0.7204545454545455,0.8564134438573155,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2320120187117909,80,113,0.6697580645161291,0.8146739627028097,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23016051329074813,80,111,0.6148148148148148,0.7833117131555779,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23559944477861106,81,116,
no_graph_mlp_full,ablation,full_no_graph,42,0,0.05,13,0.8087241081616405,50,800,True,0.6087121212121213,0.7584277132707753,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2493283366693895,80,113,0.619758064516129,0.8087241081616405,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24921738622970452,80,111,0.5502645502645502,0.7731797425660506,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2493209009556909,81,116,8.0
graph_remove_metadata,ablation,remove_metadata,42,0,0.05,2,0.7092971091910314,50,800,True,0.5422348484848485,0.7428833011347151,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.25070007605574557,80,113,0.48770161290322583,0.7092971091910314,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.25055214000856646,80,111,0.5091710758377425,0.7122647548645505,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25041988265700094,81,116,
graph_remove_centrality,ablation,remove_centrality,42,0,0.4499999999999999,229,0.8267370585638621,50,800,True,0.7181818181818181,0.854709202518771,0.7168141592920354,0.8160919540229885,0.7553191489361702,0.8875,0.2302231481435524,80,113,0.6709677419354839,0.8267370585638621,0.7477477477477478,0.8478260869565216,0.75,0.975,0.22685877362237986,80,111,0.6038800705467372,0.7818002582133645,0.7068965517241379,0.8191489361702128,0.719626168224299,0.9506172839506173,0.23514443056271586,81,116,
graph_remove_edge_contact,ablation,remove_edge_contact,42,0,0.4599999999999999,184,0.8224169627769591,50,800,True,0.696969696969697,0.8424000892575514,0.672566371681416,0.7861271676300579,0.7311827956989247,0.85,0.23293871818620146,80,113,0.6661290322580645,0.8224169627769591,0.7657657657657657,0.8505747126436781,0.7872340425531915,0.925,0.2292534688758359,80,111,0.5767195767195767,0.7583691115700221,0.646551724137931,0.7807486631016043,0.6886792452830188,0.9012345679012346,0.23705124686962117,81,116,
graph_full,ablation,full,42,1,0.05,66,0.7740687784724215,50,800,True,0.672663139329806,0.8299422478691433,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.244198103112773,81,116,0.584469696969697,0.7740687784724215,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24442586167474992,80,113,0.5084677419354838,0.7379481764708895,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24802820702856168,80,111,
no_graph_mlp_full,ablation,full_no_graph,42,1,0.05,185,0.7271169455505314,50,800,True,0.6208112874779541,0.7497547091063789,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.249916336561918,81,116,0.5517045454545455,0.7271169455505314,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24994267407549534,80,113,0.45161290322580644,0.6948708433146978,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2501987527769381,80,111,8.0
graph_remove_metadata,ablation,remove_metadata,42,1,0.48999999999999994,36,0.7424498439693071,50,800,True,0.6174603174603175,0.7697819861312737,0.7155172413793104,0.8307692307692308,0.7105263157894737,1.0,0.2519086146138694,81,116,0.5547348484848484,0.7424498439693071,0.7168141592920354,0.8315789473684211,0.7181818181818181,0.9875,0.25220123974863634,80,113,0.5106854838709678,0.7390719361411346,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.25263362935062544,80,111,
graph_remove_centrality,ablation,remove_centrality,42,1,0.05,47,0.8247811590754852,50,800,True,0.6483245149911817,0.8159705461426975,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2481895819465749,81,116,0.6238636363636364,0.8247811590754852,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24816663594544608,80,113,0.6278225806451613,0.8383546248479906,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24942802160804597,80,111,
graph_remove_edge_contact,ablation,remove_edge_contact,42,1,0.05,23,0.812093716563259,50,800,True,0.6208112874779541,0.7870798460852841,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25096861790003433,81,116,0.6409090909090909,0.812093716563259,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2506701458617971,80,113,0.6600806451612903,0.8527010138568082,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2510447938012545,80,111,
graph_full,ablation,full,42,2,0.05,191,0.7729225924263655,50,800,True,0.7318548387096774,0.8752740817027028,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23104621668655825,80,111,0.5417989417989418,0.7729225924263655,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24307590965704431,81,116,0.6378787878787879,0.8169796766201838,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24206439927360984,80,113,
no_graph_mlp_full,ablation,full_no_graph,42,2,0.05,1,0.7397230367678923,50,800,True,0.4036290322580645,0.6766251507746699,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.250003762107879,80,111,0.600352733686067,0.7397230367678923,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24982350505093487,81,116,0.5318181818181819,0.751246634626044,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24979486232029585,80,113,8.0
graph_remove_metadata,ablation,remove_metadata,42,2,0.05,139,0.7152457549002061,50,800,True,0.6477822580645162,0.8252424973136513,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.25128023847817504,80,111,0.5532627865961199,0.7152457549002061,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25153900931647966,81,116,0.39791666666666664,0.6766527441968583,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2516788613384451,80,113,
graph_remove_centrality,ablation,remove_centrality,42,2,0.05,257,0.7731776872240538,50,800,True,0.7032258064516129,0.8564054827812768,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.22861154542003181,80,111,0.5594356261022928,0.7731776872240538,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2423872097155415,81,116,0.6518939393939394,0.8385493790244661,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24117684540979614,80,113,
graph_remove_edge_contact,ablation,remove_edge_contact,42,2,0.05,516,0.788593163238004,50,800,True,0.7306451612903225,0.8705159409117325,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2203942329360389,80,111,0.5622574955908289,0.788593163238004,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23844447652806142,81,116,0.6401515151515151,0.8192999971310038,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.23776964367690018,80,113,
graph_full,ablation,full,77,0,0.41999999999999993,445,0.8508689958372434,50,800,True,0.6973484848484849,0.8603118733577751,0.7168141592920354,0.813953488372093,0.7608695652173914,0.875,0.22711176146578374,80,113,0.677016129032258,0.8508689958372434,0.7477477477477478,0.8478260869565216,0.75,0.975,0.22497935502665561,80,111,0.5728395061728395,0.7736868530331201,0.7155172413793104,0.8235294117647058,0.7264150943396226,0.9506172839506173,0.2365414657653841,81,116,
no_graph_mlp_full,ablation,full_no_graph,77,0,0.05,192,0.8197163395015403,50,800,True,0.559469696969697,0.7348459565475195,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24978921121173014,80,113,0.6112903225806452,0.8197163395015403,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24971144578175522,80,111,0.5530864197530864,0.7534004638066806,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24974486086056957,81,116,8.0
graph_remove_metadata,ablation,remove_metadata,77,0,0.4699999999999999,375,0.7671004467783729,50,800,True,0.5926136363636364,0.7462160771520485,0.7168141592920354,0.8315789473684211,0.7181818181818181,0.9875,0.24518908933023675,80,113,0.5441532258064516,0.7671004467783729,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.24431909528325807,80,111,0.4873015873015873,0.7299002506102561,0.6896551724137931,0.8144329896907216,0.6991150442477876,0.9753086419753086,0.24647478825169442,81,116,
graph_remove_centrality,ablation,remove_centrality,77,0,0.05,97,0.8355827749271173,50,800,True,0.693939393939394,0.8695988429782091,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24261454814957406,80,113,0.6439516129032258,0.8355827749271173,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24452813277767535,80,111,0.5894179894179894,0.7854781374741125,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2467712629743297,81,116,
graph_remove_edge_contact,ablation,remove_edge_contact,77,0,0.42999999999999994,220,0.8535496874414349,50,800,True,0.7049242424242425,0.8642114641336228,0.7433628318584071,0.8415300546448088,0.7475728155339806,0.9625,0.23420354542214267,80,113,0.677016129032258,0.8535496874414349,0.7297297297297297,0.8404255319148937,0.7314814814814815,0.9875,0.2340770909461,80,111,0.5901234567901235,0.783518323736754,0.7327586206896551,0.839378238341969,0.7232142857142857,1.0,0.241250081082408,81,116,
graph_full,ablation,full,77,1,0.05,21,0.8050688093529456,50,800,True,0.6038800705467372,0.8154826131851136,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24762078508063662,81,116,0.6568181818181819,0.8050688093529456,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24745740871148333,80,113,0.6024193548387097,0.7648896049398639,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2480910475757201,80,111,
